title,average rating
Dummy & Toon Poker Texas slot Online Card Game,4.37
PokerStars: Free Poker Games with Texas Holdem,4.08
피망 뉴맞고 : 고스톱으로 대한민국 1등,3.84
Spider Solitaire,4.69
Order & Chaos Duels,4.35
Conquian Zingplay: el mejor juego de cartas gratis,4.73
GWENT: The Witcher Card Game,4.64
Spades Plus - Card Game,4.47
Governor of Poker 2 - OFFLINE POKER GAME,4.13
Callbreak Multiplayer,4.04
Buraco Canasta Jogatina: Card Games For Free,4.27
Governor of Poker 3 - Free Texas Holdem Card Games,4.29
"Jawaker Trix, Tarneeb, Baloot, Hand & More",4.6
Gaple-Domino QiuQiu Poker Capsa Ceme Game Online,4.6
Texas Hold'em & Omaha Poker: Pokerist,4.06
Indian Rummy - Play Rummy Game Online,4.12
RummyCircle - Play Indian Rummy Online | Card Game,4.14
FreeCell Solitaire,4.59
Spades Free,4.46
Absolute Bingo- Free Bingo Games Offline or Online,4.61
TopFun Domino QiuQiu:Domino99 (KiuKiu),4.06
Durak,4.35
Spades Royale - Best Online Spades Card Games App,4.62
Solitaire TriPeaks Journey - Free Card Game,4.59
Scopa - Free Italian Card Game Online,3.92
Solitaire Arena,4.48
Mango Capsa Susun,3.63
Microsoft Solitaire Collection,4.5
Solitaire,4.63
Solitaire,4.63
Solitaire,4.63
Soccer Spirits,4.16
Solitaire,4.63
Solitaire,4.63
Solitaire,4.63
Polskie Złote Zdrapki,4.56
Belote.com - Free Belote Game,4.44
Truco ZingPlay: Jogo de cartas online grátis,4.33
Solitaire,4.68
Solitaire,4.68
Solitaire,4.68
Fairway Solitaire - Card Game,4.57
Dummy Hero,4.39
ไพ่แคง - มีดัมมี่ ป๊อกเด้ง ไฮโล เก้าเก,4.61
Solitaire Collection,4.72
Solitaire Free Game,4.81
Reigns,4.58
The Elder Scrolls: Legends,3.98
Solitaire Classic,4.64
Spider Solitaire,4.57
Spider Solitaire,4.57
Solitaire,4.62
三國殺名將傳,4.27
Rummy 45 - Remi Etalat,4.71
Classic Solitaire,4.62
Eredan Arena PVP,4.44
뉴 한판 맞고 (데이터 필요없는 무료 고스톱),4.23
Descarte,4.28
Spider Solitaire,4.6
Spider Solitaire,4.6
Pokémon TCG Online,4.31
Texas Holdem Poker Pro,4.13
애니팡 맞고,3.74
Phase 10: World Tour,4.21
大富豪BEST,4.3
피망 섯다,4.23
BlackJack 21 - Online Blackjack multiplayer casino,4.39
Belote Multiplayer,4.32
Batak HD - İnternetsiz Batak,4.09
LG Smart Truco,4.19
한게임 신맞고 : 대한민국 원조 고스톱,3.95
Solitaire TriPeaks Adventure - Free Card Game,4.78
Spider Solitaire,4.61
Gin Rummy Free,4.43
Mega Hit Poker: Texas Holdem,4.44
Solitaire: Super Challenges,4.5
Solitaire - Make Free Money & Play the Card Game,4.32
Solitaire,4.18
Solitaire,4.18
Solitaire,4.18
Solitaire,4.7
Solitaire,4.7
Solitaire,4.7
Cribbage Classic,4.58
Solitaire Tripeaks: Farm Adventure,4.55
Tien Len - Southern Poker,4.38
Otogi: Spirit Agents,4.32
Epic Cards Battle(TCG),4.35
Solitaire,4.75
Solitaire,4.75
Solitaire,4.75
Zynga Poker – Free Texas Holdem Online Card Games,4.29
Slotomania™ Free Slots: Casino Slot Machine Games,4.38
Teen Patti Gold – Indian Family Card Game,4.47
Teen Patti by Octro - Indian Poker Card Game,4.25
Coin Dozer: Sweepstakes,4.44
House of Fun: Free Casino Slots & Casino Games,4.53
Scatter Slots - Las Vegas Casino Game 777 Online,4.59
Lucky Day - Win Real Rewards,3.89
Jackpot Party Casino Games: Spin FREE Casino Slots,4.52
Cash Frenzy™ Casino – Free Slots Games,4.63
myVEGAS Slots: Las Vegas Casino Games & Slots,4.49
Huuuge Casino Slots - Best Slot Machines,4.3
DoubleU Casino - Free Slots,4.37
Jackpot Slot Machines - Slots Era™ Vegas Casino,4.56
Caesars Casino: Casino & Slots For Free,4.26
DH Texas Poker - Texas Hold'em,4.19
Gold Fish Casino Slots - FREE Slot Machine Games,4.63
BLACKJACK!,4.55
Hit it Rich! Lucky Vegas Casino Slot Machine Game,4.36
Wizard of Oz Free Slots Casino,4.59
Dummy ดัมมี่ ไพ่แคง เกมไพ่ฟรี,4.54
Full House Casino - Free Vegas Slots Machine Games,4.56
Slots (Golden HoYeah) - Casino Slots,4.31
Luxy Poker-Online Texas Holdem,4.3
Vegas Slots - DoubleDown Casino,4.3
Big Fish Casino - Play Slots and Casino Games,4.52
Texas HoldEm Poker Deluxe,4.38
เก้าเกไทย,4.45
Big Time Cash. Make Money Free,4.28
Cashman Casino: Casino Slots Machines! 2M Free!,4.42
Slots: Heart of Vegas™ – Free Casino Slots Games,4.27
Casino Jackpot Slots - Infinity Slots™ 777 Game,4.6
my KONAMI Slots - Casino Games & Fun Slot Machines,4.39
Tycoon Casino Free Slots: Vegas Slot Machine Games,4.74
POP! Slots ™- Free Vegas Casino Slot Machine Games,4.28
GSN Casino: New Slots and Casino Games,4.25
Slots Pharaoh's Way Casino Games & Slot Machine,4.61
